//Racine 	Origine 	Sens 	Exemples de mots comportant la racine

myo-	μῦς, μύος	muscle 	myopathie, myocarde, myologie, léιomyome
myri-	μυρίοι	dix mille 	myriade, myriapode, myriamètre
-myth-	μῦθος	mythe, légende 	mythe, mythologie, mythomane
nécro-	νεκρός	mort 	nécropole, nécrologie, nécrophage, nécrophilie
néo-	νέος	nouveau 	néon, néologisme, néophyte, néolithique, néo-zélandais
néphr(o)-	νεφρός	rein 	néphrologie, néphrite, néphrectomie, néphrétique
-nès(i)e	νῆσος	île 	Polynésie, Dodécanèse, Mélanésie
neuro-, névr-	νεῦρον, νεῦρον	nerf 	neurone, neurologie, neurosciences, névralgie, névrose
-nome, -nomie	νόμος	loi 	astronomie, gastronomie, métronome, autonome
noso-	νόσος	maladie 	nosologie, nosophobie, nosocomiale
-nyct(o)-	νύξ, νύκτός	nuit 	nyctalopie, nycthémère, nyctophobie
ochlo-	ὄχλος	foule, populace 	ochlocratie, ochlophilie, ochlophobie
octo-	ὀκτώ	huit 	octogone, octosyllabe, octopode
odo-	ὁδός	chemin 	odometre, odonymie
-odont-	ὀδούς, ὀδόντος	dent 	odontologie, odontoblaste, parodontie
œno-	οἶνος	vin 	œnologie, œnométrie, œnanthe
oligo-	ὀλίγος	en petite quantité, en petit nombre 	oligarchie, oligo-éléments, oligopole
omphal(o)-	ὀμφαλός	nombril, ombilic 	omphalos, omphalocèle, omphalote
onco-	ὄγκος	volume, grosseur 	oncologie, oncologue, oncocyte
onomat(o)-	ὄνομα, -ατος	nom 	onomatopée, onomastique, onomasiologie
onir(o)-	ὄνειρος	songe 	onirisme, oniromancie, oniroscope
ont(o)-	ὤν, ὄντος	être, étant 	ontologie, ontogenèse, ontoterminologie
-onym-	ὄνυμα	nom 	synonyme, homonyme, paronymie, anonymat
-ophtalm(o)-	ὀφθαλμός	œil 	ophtalmologie, ophtalmoscope, exophtalmie
-opt(o)-	ὤψ, ὠπός	œil 	optique, dioptrie, optométrie, optronique
ornitho-	ὄρνιθος	oiseau 	ornithologie, ornithorynque
ortho-	ὀρθός	droit 	orthogonal, orthopédie, orthographe, orthodoxie
-osm-	ὀσμή	odeur 	anosmie, osmium
-osm(o)-	ὠσμός	poussée 	osmose, osmomètre
ostéo-	ὀστέον	os 	ostéopathie, ostéoporose, ostéosynthèse
-ot(o)-	οὖς, ὠτός	oreille 	otite, oto-rhino-laryngologie, myosotis, otolithe
-oure	οὐρά	queue 	anoure, brachyoure, diploure
-oxy-	ὀξύς	aigu, acide 	oxygène, oxyde, oxydase, oxymore, dioxyde
paléo-	παλαιός	ancien 	paléontologie, paléothérium, paléographie
pan-	πᾶν	tout 	panorama, pancréas, pangée, panacée
para-	παρά	à côté de, auprès de 	paragraphe, parapharmacie, paraphrase, paramètre
patho-, -pathe	πάθος	ce que l’on éprouve, souffrance, affection 	psychopathe, pathologie, pathogène, sympathie
péd-	παιδός	enfant 	pédiatrie, pédophilie, pédagogue
-pédie	παιδεία	éducation 	encyclopédie, orthopédie, wikipédia
penta-	πέντε	cinq 	pentagone, pentateuque, pentagramme
péri-	περί	autour de 	périphérique, périscope, périhélie, périple
pétro-	πέτρα	pierre, roche 	pétrole, pétrographie, pétroglyphe, pétrologie
-phag-	φαγεῖν	manger 	anthropophagie, phagocyte, nécrophage, aérophagie
pharmac(o)-	φάρμακον	remède 	pharmacie, pharmacopée, pharmacologie
-phil-	φιλέω	aimer 	philosophie, philanthropie, philharmonie
-phon-	φωνή	voix, son 	aphone, cacophonie, microphone, phonétique
-phob-	φόβος	peur 	arachnophobie, xénophobe, agoraphobie
-phore	φέρειν	porter 	anaphore, métaphore, photophore, phosphore
-phot(o)-	φῶς, φωτός	lumière 	photographie, photosynthèse, photon
-phyll(o)-	φύλλον	feuille 	chlorophylle, phyllotaxie, podophylle, phylloxéra
-physi(o)-	φύσις	nature 	physique, physiologie, physiognomonie, physiothérapie
-phyt(o)-	φυτόν	plante 	phytothérapie, phytogenèse, épiphyte
-pithèque	πίθηκος	singe 	anthropopithèque, australopithèque, cercopithèque
-plasm-	πλάσμα	ouvrage façonné 	plasma, ectoplasme, cataplasme
plouto-	πλοῦτος	richesse 	ploutocratie
pneuma-	πνεῦμα	air, souffle, esprit 	pneumatique, pneumatologie
pneumo-	πνεύμων	poumon 	pneumonie, pneumothorax
-pod(o)-	πούς, ποδός	pied 	podologie, arthropode
poé-, -pée	ποιέω	faire 	poésie, épopée, onomatopée, pharmacopée
polém-	πόλεμος	guerre 	polémique, polémologie
-poli-, -pole	πόλις	ville, cité 	politique, lycopolis, police, métropole, cosmopolitisme
poly-	πολύς	plusieurs 	polygone, polyvalence, polyester
prot(o)-	πρῶτος	premier 	proton, [protéine], prototype, protozoaire, protocole
pseud(o)-	ψευδής	menteur, mensonge 	pseudonyme, pseudopode, pseudo-alliage
psych(o)-	ψυχή	esprit, âme 	psychiatre, psychologie, psychopathe
-ptèr(o)-	πτερόν	aile 	ptérodactyle, coléoptère, lépidoptère, diptère
pyr(o)-	πῦρ, -ός	feu 	pyromane, pyrotechnie, pyrite, pyroclastique
-(r)rhé(o)-	ῥέω	couler, diarrhée, logorrhée, aménorrhée, rhéostat
rhin(o)-	ῥίς/ῥινός	rhis/rhinos	nez 	rhinocéros, rhinoplastie, oto-rhino-laryngologie, rhinite
-rhiz(o)-	ῥίζα	racine 	rhizome, rhizosphère, mycorhize, rhizopode
-rhod(o)-	ῥόδον	rose 	rhodes, rhododendron, rhodium, cynorrhodon
-rhomb(o)-	ῥόμβος	losange 	rhomboèdre, rhomboplites
-sarco-	σάρξ, σαρκός	chair 	sarcophage, sarcosine, sarcome
-saur-	σαύρα	lézard 	saurien, dinosaure, plésiosaure, stégosaure
-scaph-	σκάφη	barque 	scaphandre, bathyscaphe
-schiz(o)-	σχίζω	fendre, séparer 	schisme, schizophrénie, schizocarpe, schizotrope
-scope	σκοπέω	regarder, observer 	télescope, stéthoscope, oscilloscope, périscope
-sidér(o)-	σίδηρος	fer 	sidérurgie, sidérolithe, sidérographie
-sophi-	σοφία	sagesse 	philosophie, sophisme, sophistique
-sperm-	σπέρμα	semence 	sperme, spermatozoïde, angiosperme, gymnosperme
-sphère	σφαῖρα	sphère 	atmosphère, hémisphère, planisphère, troposphère
-stas-, -stat-	στάσις	base, arrêt 	métastase, diastase, iconostase
-stom(a)-	στόμα, -ατος	bouche 	stomatologie, stomatite, chrysostome
-styl-	στῦλος (1)	colonne, poteau 	péristyle, stylométrie, épistyle, stylite
-styl-	στῦλος (2)	poinçon à écrire 	stylographe, style
syn-	σύν	avec 	syncrétisme, symbiose, synchrotron, synthèse, synonyme
-tachy-	ταχύς	rapide 	tachycardie, tachymètre, tachyphémie
taphe	τάφος	tombeau 	épitaphe, cénotaphe
télé-	τῆλε	loin 	télégramme, télépathie, télévision, téléphone, télescope
tél(é)(o)-	τέλος	fin (n.) 	téléologie, télicité, atélostéogenèse
-tétra-	τέσσαρα	quatre 	tétraèdre, tétralogie, tétragramme
-thana(to)-	θάνατος	mort 	euthanasie, thanatologue
-thé(o)-	θεός	dieu 	théologie, athéisme, panthéon
-thèque	θήκη	armoire 	bibliothèque, discothèque, pinacothèque, logithèque
-thér-	θηρίον	bête sauvage 	dinothérium, mégathérium
-thérap-	θεραπεύω	prendre soin 	thérapie, thalassothérapie, psychothérapeute
-therm-	θερμός	chaud 	thermes, thermomètre, thermos, thermidor, isotherme
-tom-	τομή	coupure 	anatomie, tome, atome, épitomé
-top(o)-	τόπος	lieu 	topologie, topographie, isotope
-trich(o)-	θρίξ, -τριχός	poil, cheveu 	tricholome, trichocéphale, trichome
-trop-	τρέπω	tourner 	tropisme, troposphère, héliotrope, apotropaïque
-troph-	τροφή	croissance, fait de (se) nourrir 	atrophie, hypertrophie, autotrophe, dystrophie
-typ(o)-	τύπος	modèle, caractère 	typologie, typographie, prototype
-xér(o)-	ξηρός	sec 	xérocopie, xérophtalmie, phylloxéra
xyl(o)-	ξύλον	bois 	xylophone, xylophage, xylographie
-zo(o)-	ζῷον	animal 	zoo, zoologie, zoophilie, protozoaire

